,"Jerry is an extremely short basketball player
How tall do you think Jerry is? (ft and in)","Jerry is a short basketball player
How tall do you think Jerry is? (ft and in)","John is an extremely tall basketball player
How tall do you think John is? (ft and in)","John is a tall basketball player
How tall do you think John is? (ft and in)","Amy is an extremely short woman 
How tall do you think Amy is? (ft and in)","Amy is a short woman 
How tall do you think Amy is? (ft and in)","Sarah is an extremely tall woman 
How tall do you think Sarah is? (ft and in)","Sarah is a tall woman 
How tall do you think Sarah is? (ft and in)","It's extremely cold for winter in Boston 
What temperature do you think it is? (in F)","It's cold for winter in Boston 
What temperature do you think it is? (in F)","It's an extremely hot for winter in Boston 
What temperature do you think it is? (in F)","It's  hot for winter in Boston 
What temperature do you think it is? (in F)","It's very cold for summer in Boston 
What temperature do you think it is? (in F)","It's cold for summer in Boston 
What temperature do you think it is? (in F)","It's very hot for summer in Boston 
What temperature do you think it is? (in F)","It's hot for summer in Boston 
What temperature do you think it is? (in F)","Taylor is a very short gymnast
How tall do you think Taylor is? (ft and in)","Taylor is a short gymnast
How tall do you think Taylor is? (ft and in)","Maya is a very tall gymnast
How tall do you think Maya is? (ft and in)","Maya is a  tall gymnast
How tall do you think Maya is? (ft and in)","Gary is a very short man 
How tall do you think Gary is? (ft and in)","Gary is a short man 
How tall do you think Gary is? (ft and in)","Bill is a very tall man 
How tall do you think Bill is? (ft and in)","Bill is a tall man 
How tall do you think Bill is? (ft and in)",diff_height_extremely,diff_height_extremely_2,diff_height_extremely_3,diff_height_extremely_4,diff_height_very,diff_height_very_2,diff_height_very_3,diff_height_very_4,diff_temp_extremely,diff_temp_extremely_2,diff_temp_very,diff_temp_very_2
10,7.969924812,1.203007519,5.563909774,4.060150376,2.054263566,0.891472868,2.984496124,2.984496124,2.242152466,1.921844971,0.64061499,0.320307495,0.64061499,0.64061499,2.562459962,2.754644459,9.097744361,7.969924812,4.060150376,0.827067669,10.96899225,1.666666667,2.984496124,2.984496124,562.4999999,37.03703702,130.4347827,0,14.1509434,390.909091,558.1395349,0,16.66666666,100,0,-6.976744181
11,7.969924812,0.827067669,5.563909774,4.060150376,6.317829457,1.666666667,6.085271318,2.984496124,2.242152466,1.089045484,0.960922486,0.64061499,0.64061499,0.960922486,2.818705958,2.242152466,7.218045113,7.969924812,4.060150376,1.203007519,3.217054264,0.271317829,3.759689922,2.984496124,863.6363638,37.03703702,279.0697673,103.8961039,-9.433962261,237.4999999,1085.714288,25.97402596,105.8823528,50.00000016,-33.3333334,25.71428575
12,5.714285714,3.458646617,4.812030075,4.060150376,8.643410853,3.992248062,2.596899225,2.984496124,2.882767457,1.921844971,0.128122998,0.64061499,0.64061499,0.64061499,2.562459962,2.562459962,6.466165414,3.834586466,1.052631579,0.45112782,1.666666667,1.666666667,3.759689922,2.984496124,65.21739127,18.51851851,116.5048544,-12.98701298,68.627451,133.3333331,0,25.97402596,50.00000003,-80,0,0
13,3.458646617,3.458646617,4.060150376,4.060150376,6.317829457,1.666666667,2.984496124,2.984496124,2.049967969,0.768737988,0.64061499,0.64061499,0.512491992,0.448430493,2.882767457,2.370275464,12.48120301,4.962406015,0.30075188,1.052631579,3.992248062,0.271317829,6.085271318,6.085271318,0,0,279.0697673,0,151.5151516,-71.4285714,1371.428574,0,166.6666668,0,14.28571429,21.62162165
14,7.969924812,1.203007519,5.563909774,2.180451128,7.868217054,0.891472868,2.984496124,2.209302326,2.242152466,1.281229981,0.64061499,0.512491992,0.64061499,0.64061499,2.626521461,2.562459962,12.85714286,8.345864662,4.060150376,0.45112782,1.666666667,0.271317829,6.085271318,6.085271318,562.4999999,155.1724138,782.6086958,35.08771927,54.05405408,799.9999991,514.2857154,0,74.99999994,25,0,2.499999998
15,2.706766917,3.458646617,10.07518797,3.308270677,10.96899225,1.666666667,0.658914729,2.209302326,0.896860987,1.217168482,0.64061499,0.64061499,0.512491992,0.64061499,2.242152466,2.370275464,9.84962406,7.969924812,1.052631579,1.578947368,10.96899225,0.271317829,2.984496124,2.984496124,-21.73913045,204.5454545,558.1395349,-70.17543859,23.58490566,-33.33333331,3942.85715,0,-26.31578945,0,-20,-5.405405403
16,1.203007519,1.203007519,4.812030075,4.060150376,3.604651163,0.658914729,2.984496124,2.984496124,1.98590647,2.049967969,0.832799488,0.576553491,0.64061499,0.448430493,2.114029468,2.242152466,5.714285714,7.969924812,4.060150376,1.954887218,1.666666667,0.891472868,7.248062016,4.147286822,0,18.51851851,447.0588233,0,-28.3018868,107.6923077,86.95652182,74.76635514,-3.124999998,44.44444462,42.85714286,-5.714285712
17,2.706766917,3.458646617,3.684210526,4.060150376,10.96899225,1.666666667,9.96124031,2.984496124,2.626521461,1.473414478,0.64061499,0.64061499,0.960922486,0.64061499,2.562459962,3.074951954,5.563909774,12.48120301,1.052631579,4.060150376,3.992248062,1.666666667,6.860465116,6.085271318,-21.73913045,-9.259259268,558.1395349,233.7662338,-55.42168676,-74.07407407,139.5348837,12.7388535,78.26086958,0,50.00000016,-16.66666666
18,2.330827068,3.458646617,10.07518797,3.308270677,6.317829457,3.992248062,2.984496124,2.984496124,1.921844971,1.921844971,0.576553491,0.64061499,0.64061499,0.64061499,2.562459962,2.882767457,12.48120301,4.210526316,4.060150376,0.45112782,0.891472868,1.666666667,4.147286822,2.984496124,-32.60869565,204.5454545,58.25242718,0,196.4285715,799.9999991,-46.51162793,38.96103897,0,-10,0,-11.1111111
19,7.969924812,0.827067669,5.563909774,4.060150376,6.317829457,1.666666667,5.310077519,2.984496124,2.754644459,1.921844971,0.64061499,0.64061499,0.64061499,0.64061499,2.626521461,2.882767457,7.969924812,7.969924812,1.052631579,1.578947368,0.891472868,0.271317829,6.085271318,2.984496124,863.6363638,37.03703702,279.0697673,77.92207791,0,-33.33333331,228.571429,103.8961039,43.33333336,0,0,-8.888888883
